Fri May 04 13:01:13 +0000 2018,OwenM95,"b""@SammyKellly Starbucks don't sell medium anythings""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aberdeen, Scotland",173,331,en
 ,,,,,,,
Fri May 04 13:01:16 +0000 2018,4AllSurfaces,b'I didnt want a like warm americano to start my day Starbucks.',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,1468,985,en
 ,,,,,,,
Fri May 04 13:01:22 +0000 2018,troshon2012,b'My dad gave me two $10 gift cards to Starbucks that I totally forgot about. My life is made',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,168,309,en
 ,,,,,,,
Fri May 04 13:01:26 +0000 2018,DNRsquad,b'RT @2018Philly:   Blow the whistle @ #wikileaks #eagles #nfl #patriots  #metoo  #amazon #netflix #iTunes #Brexit #nyc  #starbucks #uber #',"<a href=""HTTP://WWW.DNR-CREW.COM"" rel=""nofollow"">famednr@gmail.com.</a>",,5478,2,en
 ,,,,,,,
Fri May 04 13:01:28 +0000 2018,__denvv,b'RT @carobunga: If you get an iced drink ask for a nitro lid!! Some stores have these already for the cold foam drinks. I know colonial heig',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Richmond, VA",759,1006,en
 ,,,,,,,
Fri May 04 13:01:29 +0000 2018,amrhkmdn,"b'RT @nalisaaa: But if you like using straws, get yourself a bundle of stainless steel straws at Lazada. You can put it in your bag. https://'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",loading...,388,204,en
 ,,,,,,,
Fri May 04 13:01:37 +0000 2018,icingsnowballs,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SG/ID,1232,114,en
 ,,,,,,,
Fri May 04 13:01:40 +0000 2018,sophianicolley,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wala na,349,164,en
 ,,,,,,,
Fri May 04 13:01:40 +0000 2018,sexxdatesbrova,b'Starbucks again #FTW',"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Uptown DC - Landova MD,1234,1030,en
 ,,,,,,,
Fri May 04 13:01:46 +0000 2018,KimWhitler,b'#9 Best Company for Developing C-Level Mktg Leaders: @Starbucks @Starbucksnews @TheCMOclub https://t.co/n19u0El6B3 https://t.co/REOenoLVUZ',"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Charlottesville Virginia,17877,15599,en
 ,,,,,,,
Fri May 04 13:01:47 +0000 2018,icristianmunoz,"b'Black men arrested at Starbucks settle with Philadelphia for $1 each, plus $200K for youth https://t.co/gF5Kpe0Lvl'","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Edmonton, Alberta",223,174,en
 ,,,,,,,
Fri May 04 13:01:49 +0000 2018,HarrySlaysAf,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kendall, Cara & Gigi|Hogwarts",6406,444,en
 ,,,,,,,
Fri May 04 13:01:50 +0000 2018,itsdaphnegbm,"b""RT @jestercepres: I'm badly craving for;\n\nMilk Tea                       Jollibee\nFries                             McDo\nPizza""","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",bul ï¿½ï¿½ï,296,436,en
 ,,,,,,,
Fri May 04 13:01:50 +0000 2018,GeorgeW_99,b'RT @armsofpleonexia: The whole cup is made of plastic https://t.co/By2THnWJBm',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cheltenham/London,185,208,en
 ,,,,,,,
Fri May 04 13:01:53 +0000 2018,nicoIesrow,b'i brought my starbucks to school but i was like an hour late smh',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ýýý|i|ýýý ýý i+! ].[,1436,917,en-gb
 ,,,,,,,
Fri May 04 13:01:56 +0000 2018,J_DylanSherwood,b'current mood after hearing @brckhmptn play in a starbucks in indiana https://t.co/DcvMY7fdOG',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Columbus, IN",447,165,en
 ,,,,,,,
Fri May 04 13:01:56 +0000 2018,Brianna_Marie_S,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Orlando, FL",97,125,en
 ,,,,,,,
Fri May 04 13:01:59 +0000 2018,SalamandersNova,b'@RealProfWang @GeraldMoody1560 More power to ya. Meanwhile I just took a massive dump in the Starbucks at the corne https://t.co/3FMMnvLSKn',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Toronto, Ontario",108,202,en
 ,,,,,,,
Fri May 04 13:02:05 +0000 2018,fatmoneygod,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",earth,494,396,en
 ,,,,,,,
Fri May 04 13:02:07 +0000 2018,Rai_Neil,b'@itsmae__ We talking Starbucks or Circle K coffee?',"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,1419,1616,en
 ,,,,,,,
Fri May 04 13:02:08 +0000 2018,jessmaryy13,b'Guy in front of me at Starbucks today just ordered 6 shots of espresso. #HappyFriday',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wisconsin,409,369,en
 ,,,,,,,
Fri May 04 13:02:09 +0000 2018,MojoJooodie,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,255,844,en
 ,,,,,,,
Fri May 04 13:02:10 +0000 2018,marylam99,b'RT @counterchekist: This is what benevolence and leadership looks like. Kudos to these men for turning a wrong committed against them into',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GreatSouthBay Long Island, NY",77,328,en
 ,,,,,,,
Fri May 04 13:02:11 +0000 2018,ughvikki,"b'RT @alineeeeee__: Theyre opening up a BWW, In n out, Chick-Fil-A, Starbucks, &amp; Panera bread in the same lot of the new Costco in Monterey'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Los Angeles,157,122,en
 ,,,,,,,
Fri May 04 13:02:13 +0000 2018,w_dykstra,b'I just entered to win a Starbucks/B&amp;N gift card during the cover reveal for Superheroes Suck by Jamie Zakian!  https://t.co/aweBsbbtPK',"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,7866,2636,en
 ,,,,,,,
Fri May 04 13:02:17 +0000 2018,_sophiedennison,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,42,111,en
 ,,,,,,,
Fri May 04 13:02:19 +0000 2018,kaylastanziani1,b'Enter to win a $100 Starbucks Gift Card! #giveaways  https://t.co/S6ADM9VXJY',"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lake City, FL",2,107,en
 ,,,,,,,
Fri May 04 13:02:23 +0000 2018,mattmangum2,b'With all the technology we have today @starbucks mobile order might be at the top of the list for me #starbucks #gimmemycoffee',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,2993,387,en
 ,,,,,,,
Fri May 04 13:02:25 +0000 2018,thedimwit,"b""@AstrosBrain Starbucks has a K-cup that promises double the caffeine... it's taken me 10 minute to type this becaus https://t.co/YrA6uriJkv""","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Colorado Springs, CO",1222,2142,en
 ,,,,,,,
Fri May 04 13:02:28 +0000 2018,Pixeee_Princess,b'May the 4th be  strong &amp; Dark! (@ Starbucks) #Yelp #Yelfie https://t.co/Bfi1Aly8V2 https://t.co/sSaLb2MVIH',"<a href=""http://www.yelp.com/"" rel=""nofollow"">Yelp</a>",Happiest Place on Earh,1,9,en
 ,,,,,,,
Fri May 04 13:02:29 +0000 2018,carefulwren,b'@hurtkylo He goes for really implausibly dumb shit on purpose lately just to thwart me (Coffee Shop AU. Millicent https://t.co/0TqTVt8E4V',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ice hell ï¿½ï¿½ï¿,20,63,en
 ,,,,,,,
Fri May 04 13:02:30 +0000 2018,wesley116,"b'RT @GemMar333: .@Starbucks Hey parents, if you have college age kids and you want them to go for free just have them go to Starbucks, sit t'","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,643,1083,en
 ,,,,,,,
Fri May 04 13:02:31 +0000 2018,_anapizza_,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",phx,238,227,en
 ,,,,,,,
Fri May 04 13:02:40 +0000 2018,createsparkles,b'RT @MReport_TV: Ditch @Starbucks! Discover @ScottyDCoffee. #blogpost https://t.co/MlNTvonmge https://t.co/3gpbGpn0fW',"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,157,229,en
 ,,,,,,,
Fri May 04 13:02:43 +0000 2018,abbysa27,"b'RT @nalisaaa: But if you like using straws, get yourself a bundle of stainless steel straws at Lazada. You can put it in your bag. https://'","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,435,350,en
 ,,,,,,,
Fri May 04 13:02:50 +0000 2018,sunnnwebb,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nm-nc-pa,495,426,en
 ,,,,,,,
Fri May 04 13:02:50 +0000 2018,nina_difante5,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Batavia, NY",520,287,en
 ,,,,,,,
Fri May 04 13:02:50 +0000 2018,eringettingfit,b'Boo for no Starbucks in our terminal! We have a 2 hour layover in St Louis so https://t.co/FcZzZ2xEcD',"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Lake Geneva, WI",736,1954,en
 ,,,,,,,
Fri May 04 13:02:51 +0000 2018,wisewoozi,b'RT @FelicisGoods: This new Starbucks Korea summer collection is so meant for SVT &amp; Carats  https://t.co/h9VFPUVIRC',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Italy,87,382,en
 ,,,,,,,
Fri May 04 13:02:57 +0000 2018,b_rrad26,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bangor, ME",631,461,en
 ,,,,,,,
Fri May 04 13:03:02 +0000 2018,nataliaotten,b'everyone in this Starbucks is named Bill and they all know each other leaving me to believe there are meet ups for guys named Bill',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,187,140,en
 ,,,,,,,
Fri May 04 13:03:03 +0000 2018,xelatl,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,212,378,en
 ,,,,,,,
Fri May 04 13:03:04 +0000 2018,dunwoodybarbers,b'Men arrested at Starbucks receive free tuition for the University of Arizona https://t.co/I2qf23WeOf https://t.co/Ff09sfeQUk',"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Atlanta, GA",539,2032,en
 ,,,,,,,
Fri May 04 13:03:06 +0000 2018,blondi3barbi3,b'Wake &amp; bake now omw to Starbucks ',"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Michigan, USA",59,152,en
 ,,,,,,,
Fri May 04 13:03:08 +0000 2018,BlackThoughts91,b'RT @NitraJenkins: Thank you. https://t.co/viDEOejnnx',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Baltimore, MD",35537,3925,en
 ,,,,,,,
Fri May 04 13:03:13 +0000 2018,RecruitITCindi,b'Black men arrested at Starbucks settle with city for $1 each and $200K for a nonprofit student pr... https://t.co/GSOY71IJh4',"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,49,131,en
 ,,,,,,,
Fri May 04 13:03:14 +0000 2018,pandieboo,b'I cant tell whats happening at this Starbucks but there sure are a LOT of middle age ladies hovering and passive aggressively sighing.',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,81,157,en
 ,,,,,,,
Fri May 04 13:03:19 +0000 2018,nevlludax,b'RT @sIugma: omg are they shooting a Starbucks CF... https://t.co/ojWjl7kYp4',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,48,49,en
 ,,,,,,,
Fri May 04 13:03:27 +0000 2018,danger0usperson,b'Im literally in the drive thru at @Starbucks \nLike speaking my order to the person on the intercom \n\n&amp; they go yo https://t.co/oSH7rTXkO1',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HOUSTON. ,11156,123,en
 ,,,,,,,
Fri May 04 13:03:28 +0000 2018,shineshineguk,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ýýýýýýýý,81,175,en
 ,,,,,,,
Fri May 04 13:03:29 +0000 2018,Fill75,"b'Whoa Whoa Whoa, stop the clock theres no matcha powder in any of the @Starbucks by my job I guess Im not the only https://t.co/hGhF1v0Tmi'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Coram, NY",136,219,en
 ,,,,,,,
Fri May 04 13:03:30 +0000 2018,Kelly7976,b'@jacqui_bacchi Toledo gets money from this though I believe. Im pretty sure Starbucks pays us for rent for the spa https://t.co/2M5uB5dSjM',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UT/Cle,543,507,en
 ,,,,,,,
Fri May 04 13:03:30 +0000 2018,acqua_di_mare,"b""RT @mathinhell: Hey @Starbucks maybe you should close up for another half day of anti-racist training, that is unless you think it's okay f""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Montrï¿½ï¿½al - Martinique - Fr,3965,1041,fr
 ,,,,,,,
Fri May 04 13:03:33 +0000 2018,allisondexterr,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,490,408,en
 ,,,,,,,
Fri May 04 13:03:35 +0000 2018,5jh6_,"b""I'm at StarBucks Coffee| Ishbiliya Co-op in Al Kuwayt, Al Farwaniyah https://t.co/UYnDXxTLz7""","<a href=""https://www.swarmapp.com"" rel=""nofollow"">Foursquare Swarm</a>",:),205,89,en
 ,,,,,,,
Fri May 04 13:03:41 +0000 2018,tory_miller89,"b""If McDonald's charged $8 for a McDouble it would be the  equivalent of Starbucks ""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Texas, USA",126,435,en
 ,,,,,,,
Fri May 04 13:03:44 +0000 2018,jolozo,b'@Starbucks forgot my mobile order waited 30 minutes and now im late for work happy friday',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,321,517,en
 ,,,,,,,
Fri May 04 13:03:46 +0000 2018,deathnoteshawty,b'ur still using the same amount of plastic u didnt do anything https://t.co/TNqqfwkTAn',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,3686,865,en
 ,,,,,,,
Fri May 04 13:03:47 +0000 2018,tobioiisms,b'RT @armsofpleonexia: The whole cup is made of plastic https://t.co/By2THnWJBm',"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Indiana, USA",127,116,en
 ,,,,,,,
Fri May 04 13:03:47 +0000 2018,sarahhhh1101,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,470,291,en
 ,,,,,,,
Fri May 04 13:03:48 +0000 2018,Samantha_Mar1e,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Florida, USA",273,435,en
 ,,,,,,,
Fri May 04 13:03:48 +0000 2018,svt_m_0406,b'RT @FelicisGoods: This new Starbucks Korea summer collection is so meant for SVT &amp; Carats  https://t.co/h9VFPUVIRC',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,54,185,ja
 ,,,,,,,
Fri May 04 13:03:51 +0000 2018,_gethooked,b'@EJHolland247 Its gotten better over the years but what you out here for? I told you on periscope next time you out here Starbucks on me',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,480,283,en
 ,,,,,,,
Fri May 04 13:03:51 +0000 2018,KathyReboul,"b'After a very bad start, @Starbucks is stepping up with economic justice. https://t.co/PD4cGpXiAg'","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Boston, MA",168,263,en
 ,,,,,,,
Fri May 04 13:03:53 +0000 2018,truthbringer216,b'RT @GemMar333: .@Starbucks No Sensitivity Training...No Settlement...No Public Apology...No Respect...May Your 8K Stores Close For Good',"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Winchester, VA",1269,1729,en
 ,,,,,,,
Fri May 04 13:03:55 +0000 2018,Exploration333,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cold part of America,264,495,en
 ,,,,,,,
Fri May 04 13:03:56 +0000 2018,VozdeRaquel,b'RT @wsbtv:  Police find another camera inside local Starbucks restroom: https://t.co/IoVKY2VLhx https://t.co/iMTc9LYtsB',"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Milky Way galaxy,955,650,en
 ,,,,,,,
Fri May 04 13:03:56 +0000 2018,candy_jelly12,"b""My team leader is moving to another dept  \nI'll lose my birthday twins as well as my Starbucks buddy  Hopefully https://t.co/fTSHHzpGYS""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GMT +7,172,300,en
 ,,,,,,,
Fri May 04 13:03:57 +0000 2018,richardbabin216,"b""@washingtonpost I love Starbucks..  never had a problem there, it's a great company despite one bad manager and soc https://t.co/qUOrykBSAq""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,32,202,en
 ,,,,,,,
Fri May 04 13:03:57 +0000 2018,sahrennaanas,b'this was for our cold foam drinks so that people could sip the foam but hey i guess this is a good way to think of https://t.co/V1ReLSeGC3',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","San Jose, CA",48,273,en
 ,,,,,,,
Fri May 04 13:04:01 +0000 2018,R0M_9,b'Godiva + Starbucks https://t.co/o3COn7GKzX',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Rainbow,79,99,ar
 ,,,,,,,
Fri May 04 13:04:08 +0000 2018,kelcey_linnx3,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,134,192,en
 ,,,,,,,
Fri May 04 13:04:09 +0000 2018,Samantha_Mar1e,"b'RT @radkatz: @mklozik from a Starbucks Partner: this week we started to carry venti reusable cups for iced drinks! its $3 for the cup, lid'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Florida, USA",273,435,en
 ,,,,,,,
Fri May 04 13:04:10 +0000 2018,KelticSC,"b""@Karn33333 Nope, I've been tossed from a few places for loitering, and I'm so white I'm practically see thru. They https://t.co/4ZS9qXYQ5k""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","columbia,sc",589,745,en
 ,,,,,,,
Fri May 04 13:04:13 +0000 2018,andeencarnacion,"b""RT @kiaalampay: LOVE!! But bring your own reusable tumbler or ask them to put it in a mug if you're staying there. Say no to plastic in gen""","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,528,299,en
 ,,,,,,,
Fri May 04 13:04:14 +0000 2018,knrsyzwn,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",seoul x MY,515,274,en
 ,,,,,,,
Fri May 04 13:04:14 +0000 2018,Mandy90902260,b'RT @deathnoteshawty: ur still using the same amount of plastic u didnt do anything https://t.co/TNqqfwkTAn',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pflugerville, TX",149,261,en
 ,,,,,,,
Fri May 04 13:04:16 +0000 2018,radicalcassie,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Belleville, Canada",1535,2202,en
 ,,,,,,,
Fri May 04 13:04:19 +0000 2018,katiegallahue,"b'RT @mklozik: HI THIS COOL want to know why? This is the new strawless lid from Starbucks! Saving the earth takes baby steps, so ask for a n'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hell, MI",90,87,en
 ,,,,,,,
Fri May 04 13:04:22 +0000 2018,blacktropolisCi,b'Meek Mill speaks on Starbucks arrest of two Black men and why it bothered him https://t.co/CWeyyiV7Ks https://t.co/4FMY1nFdVq',"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",USA,39,194,en
 ,,,,,,,
Fri May 04 13:04:25 +0000 2018,rodri3uez,"b'RT @TheFinalCall: Buy Black: In the aftermath of the Starbucks debacle, Black coffee shops pulling in the green. https://t.co/IGLG87Yugf ht'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marietta, GA",206,657,en
 ,,,,,,,
Fri May 04 13:04:27 +0000 2018,haiidahh,b'RT @FelicisGoods: This new Starbucks Korea summer collection is so meant for SVT &amp; Carats  https://t.co/h9VFPUVIRC',"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,5,666,en
 ,,,,,,,
